        MR        MRT         R2
 1.115E+03  3.793E+02  1.157E-01
 9.510E+02  4.382E+02  2.124E-01
 1.072E+03  4.210E+02  1.543E-01
 1.787E+03  5.532E+02  9.580E-02
 5.464E+02  2.858E+02  2.736E-01
 5.493E+02  3.830E+02  4.862E-01
 1.094E+03  8.068E+02  5.436E-01
 1.744E+03  6.129E+02  1.234E-01
 1.220E+03  7.042E+02  3.333E-01
 1.237E+03  4.662E+02  1.419E-01
 9.886E+02  4.834E+02  2.391E-01
 8.488E+02  4.703E+02  3.070E-01
 6.007E+02  2.429E+02  1.635E-01
 5.155E+02  4.353E+02  7.132E-01
 7.719E+02  4.770E+02  3.819E-01
 1.275E+03  7.207E+02  3.193E-01
 9.571E+02  7.171E+02  5.614E-01
 8.791E+02  2.469E+02  7.886E-02
 8.396E+02  5.660E+02  4.545E-01
 4.108E+02  2.916E+02  5.038E-01
 1.533E+03  5.900E+02  1.481E-01
 1.357E+03  7.268E+02  2.867E-01
 9.880E+02  7.362E+02  5.552E-01
 7.844E+02  4.262E+02  2.952E-01
 8.387E+02  4.222E+02  2.534E-01
 8.993E+02  2.388E+02  7.051E-02
 1.427E+03  5.953E+02  1.741E-01
 1.498E+03  4.151E+02  7.680E-02
 1.211E+03  4.904E+02  1.640E-01
 1.681E+03  3.813E+02  5.146E-02
 4.642E+02  2.813E+02  3.673E-01
 1.372E+03  6.104E+02  1.979E-01
 4.751E+02  3.224E+02  4.604E-01
 1.244E+03  6.618E+02  2.828E-01
 8.397E+02  9.252E+01  1.214E-02
 8.697E+02  6.181E+02  5.051E-01
 6.270E+02  4.027E+02  4.126E-01
 1.260E+03  3.428E+02  7.398E-02
 1.184E+03  6.455E+02  2.973E-01
 4.486E+02  3.445E+02  5.898E-01
 1.436E+03  8.133E+02  3.208E-01
 5.813E+02  4.214E+02  5.254E-01
 9.119E+02  4.040E+02  1.962E-01
 9.235E+02  6.380E+02  4.773E-01
 9.599E+02  4.649E+02  2.346E-01
 6.579E+02  5.368E+02  6.657E-01
 1.272E+03  3.807E+02  8.955E-02
 8.609E+02  2.100E+02  5.951E-02
 1.302E+03  4.520E+02  1.205E-01
 1.652E+03  4.118E+02  6.216E-02
 1.066E+03  2.717E+02  6.497E-02
 1.247E+03  6.023E+02  2.331E-01
 5.139E+02  1.860E+02  1.310E-01
 2.469E+03  7.964E+02  1.041E-01
 8.578E+02  7.538E+02  7.722E-01
 7.680E+02  3.022E+02  1.549E-01
 8.668E+02  5.315E+02  3.760E-01
 6.025E+02  4.139E+02  4.719E-01
 1.231E+03  5.098E+02  1.714E-01
 1.997E+03  5.707E+02  8.164E-02
 9.720E+02  4.428E+02  2.075E-01
 1.062E+03  6.316E+02  3.535E-01
 1.778E+03  6.289E+02  1.251E-01
 9.731E+02  3.423E+02  1.238E-01
 1.351E+03  4.932E+02  1.333E-01
 7.468E+02  3.448E+02  2.131E-01
 1.606E+03  4.908E+02  9.336E-02
 1.357E+03  6.276E+02  2.140E-01
 5.234E+02  4.379E+02  7.001E-01
 8.542E+02  3.856E+02  2.037E-01
 8.994E+02  5.842E+02  4.218E-01
 1.148E+03  5.853E+02  2.599E-01
 8.263E+02  6.612E+02  6.403E-01
 5.333E+02  4.016E+02  5.673E-01
 1.065E+03  6.709E+02  3.967E-01
 1.161E+03  8.115E+02  4.883E-01
